City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,uturoa,-16.7333,-151.4333,79.43,77,100,19.01,PF,Tue Oct 17 14:15:30 2023
1,xingcheng,40.6167,120.7167,63.03,74,100,10.22,CN,Tue Oct 17 14:15:30 2023
2,tubarjal,30.4999,38.216,74.3,35,0,8.95,SA,Tue Oct 17 14:15:31 2023
3,invercargill,-46.4,168.35,45.01,81,100,4.0,NZ,Tue Oct 17 14:15:31 2023
4,as saffaniyah,27.9708,48.73,77.94,49,0,3.15,SA,Tue Oct 17 14:15:31 2023
5,antsiranana,-12.2787,49.2917,75.63,83,11,11.45,MG,Tue Oct 17 14:15:31 2023
6,pathein,16.7833,94.7333,75.94,91,92,2.98,MM,Tue Oct 17 14:15:31 2023
7,fort bragg,35.139,-79.006,71.82,47,17,5.01,US,Tue Oct 17 14:15:31 2023
8,namtsy,62.7161,129.6658,25.03,49,100,5.35,RU,Tue Oct 17 14:15:31 2023
9,port-aux-francais,-49.35,70.2167,35.91,74,95,18.7,TF,Tue Oct 17 14:15:31 2023
10,margaret river,-33.95,115.0667,59.54,84,100,10.0,AU,Tue Oct 17 14:15:31 2023
11,east london,-33.0153,27.9116,62.92,80,0,14.18,ZA,Tue Oct 17 14:15:32 2023
12,bethel,41.3712,-73.414,62.65,62,75,4.61,US,Tue Oct 17 14:12:04 2023
13,blackmans bay,-43.0167,147.3167,44.53,87,16,1.01,AU,Tue Oct 17 14:15:32 2023
14,edinburgh of the seven seas,-37.0676,-12.3116,54.66,75,100,10.98,SH,Tue Oct 17 14:15:32 2023
15,whistler,50.1164,-122.9695,45.72,93,100,0.0,CA,Tue Oct 17 14:11:20 2023
16,port alfred,-33.5906,26.891,63.18,88,0,3.0,ZA,Tue Oct 17 14:15:32 2023
17,yellowknife,62.456,-114.3525,34.32,100,100,2.3,CA,Tue Oct 17 14:12:30 2023
18,ribeira grande,38.5167,-28.7,70.77,88,75,13.8,PT,Tue Oct 17 14:15:32 2023
19,bethanie,-26.4833,17.15,78.1,13,0,6.13,NA,Tue Oct 17 14:15:32 2023
20,tionk essil,12.7856,-16.5217,84.16,75,0,8.52,SN,Tue Oct 17 14:15:32 2023
21,grytviken,-54.2811,-36.5092,36.12,81,86,10.96,GS,Tue Oct 17 14:15:33 2023
22,arkhangel'sk,64.5401,40.5433,39.13,78,100,8.3,RU,Tue Oct 17 14:13:14 2023
23,priozersk,61.0393,30.1291,44.11,86,100,11.81,RU,Tue Oct 17 14:15:33 2023
24,tazovsky,67.4667,78.7,38.62,95,100,12.62,RU,Tue Oct 17 14:15:33 2023
25,santander jimenez,24.2167,-98.4667,79.83,23,57,4.0,MX,Tue Oct 17 14:15:33 2023
26,tiksi,71.6872,128.8694,3.34,100,100,1.79,RU,Tue Oct 17 14:15:33 2023
27,waitangi,-43.9535,-176.5597,49.82,84,0,1.99,NZ,Tue Oct 17 14:15:33 2023
28,nuuk,64.1835,-51.7216,25.41,50,20,18.41,GL,Tue Oct 17 14:15:33 2023
29,ankazobe,-18.3167,47.1167,68.81,71,87,0.98,MG,Tue Oct 17 14:15:34 2023
30,happy valley-goose bay,53.3168,-60.3315,43.11,61,75,8.05,CA,Tue Oct 17 14:15:34 2023
31,tazacorte,28.629,-17.9293,76.17,82,20,5.01,ES,Tue Oct 17 14:15:34 2023
32,tocopilla,-22.092,-70.1979,62.92,74,15,9.04,CL,Tue Oct 17 14:15:34 2023
33,azzaba,36.7394,7.1053,77.23,26,16,4.03,DZ,Tue Oct 17 14:15:34 2023
34,stanley,54.868,-1.6985,47.28,94,20,4.61,GB,Tue Oct 17 14:15:34 2023
35,yerofey pavlovich,53.9667,121.9667,29.17,99,97,0.63,RU,Tue Oct 17 14:15:34 2023
36,college,64.8569,-147.8028,35.08,85,75,1.99,US,Tue Oct 17 14:15:34 2023
37,jose maria morelos,23.3952,-103.8984,69.49,32,66,7.2,MX,Tue Oct 17 14:15:34 2023
38,iqaluit,63.7506,-68.5145,29.93,54,100,6.91,CA,Tue Oct 17 14:15:35 2023
39,priargunsk,50.3691,119.1012,35.98,59,69,13.85,RU,Tue Oct 17 14:15:35 2023
40,anadyr,64.75,177.4833,21.7,100,40,11.18,RU,Tue Oct 17 14:15:35 2023
41,missoula,47.0166,-113.8009,52.2,36,10,14.41,US,Tue Oct 17 14:15:30 2023
42,afaahiti,-17.75,-149.2833,80.47,81,93,18.54,PF,Tue Oct 17 14:13:57 2023
43,nadi,-17.8,177.4167,75.2,78,40,0.0,FJ,Tue Oct 17 14:15:35 2023
44,iskateley,67.6803,53.1512,34.02,89,100,8.99,RU,Tue Oct 17 14:15:35 2023
45,puerto baquerizo moreno,-0.9,-89.6,83.39,70,40,6.91,EC,Tue Oct 17 14:15:35 2023
46,ushuaia,-54.8,-68.3,56.86,65,0,11.5,AR,Tue Oct 17 14:15:36 2023
47,praia da vitoria,38.7333,-27.0667,71.85,73,20,8.68,PT,Tue Oct 17 14:15:36 2023
48,rio preto da eva,-2.6994,-59.6997,89.78,53,63,10.67,BR,Tue Oct 17 14:15:36 2023
49,kayangel,8.0823,134.7173,82.17,77,11,4.99,PW,Tue Oct 17 14:15:36 2023
50,ulsteinvik,62.3432,5.8487,48.76,91,100,1.99,NO,Tue Oct 17 14:15:36 2023
51,kuanda,56.3161,116.0806,25.68,87,26,3.87,RU,Tue Oct 17 14:15:36 2023
52,tralee,52.2704,-9.7026,52.93,89,100,26.98,IE,Tue Oct 17 14:15:36 2023
53,mili,6.0815,171.735,82.8,71,24,3.87,MH,Tue Oct 17 14:15:37 2023
54,adamstown,-25.066,-130.1015,71.74,88,100,9.08,PN,Tue Oct 17 14:15:37 2023
55,inongo,-1.95,18.2667,73.78,93,89,5.32,CD,Tue Oct 17 14:15:37 2023
56,castlegar,49.2998,-117.6689,60.98,56,22,3.0,CA,Tue Oct 17 14:15:37 2023
57,garissa,-0.4536,39.6401,84.74,59,82,19.57,KE,Tue Oct 17 14:15:37 2023
58,semporna,4.4818,118.6112,76.68,92,16,1.79,MY,Tue Oct 17 14:15:37 2023
59,pacific grove,36.6177,-121.9166,81.39,71,0,5.75,US,Tue Oct 17 14:15:37 2023
60,minas novas,-17.2186,-42.5903,94.26,21,58,8.34,BR,Tue Oct 17 14:15:37 2023
61,nemuro,43.3236,145.575,54.19,70,93,24.58,JP,Tue Oct 17 14:15:37 2023
62,albany,42.6001,-73.9662,59.95,65,93,1.01,US,Tue Oct 17 14:11:00 2023
63,puerto ayora,-0.7393,-90.3518,89.56,87,77,5.99,EC,Tue Oct 17 14:15:38 2023
64,kulhudhuffushi,6.6221,73.07,83.12,72,92,7.87,MV,Tue Oct 17 14:15:38 2023
65,georgetown,5.4112,100.3354,79.02,91,20,4.61,MY,Tue Oct 17 14:15:11 2023
66,riberalta,-10.9833,-66.1,93.4,52,75,0.0,BO,Tue Oct 17 14:15:38 2023
67,badger,64.8,-147.5333,34.99,85,75,0.0,US,Tue Oct 17 14:15:38 2023
68,west island,-12.1568,96.8225,78.78,89,75,14.97,CC,Tue Oct 17 14:15:38 2023
69,bredasdorp,-34.5322,20.0403,61.65,83,0,2.66,ZA,Tue Oct 17 14:15:38 2023
70,ulaangom,49.9811,92.0667,40.57,33,15,1.57,MN,Tue Oct 17 14:15:39 2023
71,port moresby,-9.4431,147.1797,73.81,96,100,2.3,PG,Tue Oct 17 14:15:39 2023
72,mount isa,-20.7333,139.5,71.37,20,6,11.5,AU,Tue Oct 17 14:15:39 2023
73,west end,26.6833,-78.9667,75.18,59,26,13.13,BS,Tue Oct 17 14:15:39 2023
74,korla,41.7597,86.1469,50.02,29,0,4.36,CN,Tue Oct 17 14:15:39 2023
75,cayenne,4.9333,-52.3333,87.84,70,75,12.66,GF,Tue Oct 17 14:15:39 2023
76,burdur,37.7203,30.2908,61.5,63,75,2.3,TR,Tue Oct 17 14:15:39 2023
